index,site_store,b2b_b2c,channel_id,region,city_level,store_concept,trade_term,area_range,store_type,urbanization,branch_area,address_2,address_3,showroom_area,warehouse_area,start_month,start_year,end_month,end_year,note,customer_id,customer_name
0,60000003,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Bình Tân,HCM,,,8,2010,,,,435043cf9,customer878
1,60000006,B2B,ST,KVMN,Cấp 2,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Tp. Biên Hoà,ĐNI,,,8,2010,,,,db3c83bfa,customer904
2,60000007,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 10,HCM,,,8,2010,,,,f9bd8e994,customer1213
3,60000008,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Gò Vấp,HCM,,,8,2010,,,,c6fb2b695,customer1792
4,60000534,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Phú Nhuận,HCM,,,8,2010,,,,68be208f8,customer463
5,60000535,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Tân Phú,HCM,,,8,2010,,,,08dad4c83,customer1702
6,60000536,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 11,HCM,,,8,2010,,,,775df4a2f,customer1627
7,60000537,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. 3,HCM,,,8,2010,,,,acc630f2d,customer559
8,60000538,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,TT hành chính kinh tế,CNMN,Q. 1,HCM,,,8,2010,,,,c8d7ed0b8,customer1085
9,60000539,B2B,ST,KVMN,Cấp TW,Cửa hàng của các siêu thị,Mua đứt bán đoạn,,Siêu thị,Nội thành,CNMN,Q. Bình Thạnh,HCM,,,8,2010,,,,1526ca049,customer919
